title,author,genres,available
The Night Circus,Erin Morgenstern (Goodreads Author),Fantasy,True
Fallen,Lauren Kate (Goodreads Author),Young Adult,True
The Silmarillion,"J.R.R. Tolkien, Christopher Tolkien (Editor), Ted Nasmith (Illustrator)",Fantasy,True
The Secret Magdalene,Ki Longfellow (Goodreads Author),Historical Fiction,True
Beloved,Toni Morrison,Fiction,True
The Trial,"Franz Kafka, Max Brod (Afterword), Willa Muir (Translator), Edwin Muir (Translator)",Classics,True
A Confederacy of Dunces,"John Kennedy Toole, Walker Percy (Foreword)",Fiction,True
The Sun Also Rises,Ernest Hemingway,Classics,True
The Selection,Kiera Cass (Goodreads Author),Young Adult,True
The Velveteen Rabbit,"Margery Williams Bianco, William Nicholson (Illustrator)",Childrens,True
Catching Fire,Suzanne Collins,Young Adult,True
The Lost Hero,Rick Riordan (Goodreads Author),Fantasy,True
Throne of Glass,Sarah J. Maas (Goodreads Author),Fantasy,True
Spirit Bound,Richelle Mead (Goodreads Author),Young Adult,True
Clockwork Prince,Cassandra Clare (Goodreads Author),Fantasy,True
The Iliad/The Odyssey,"Homer, Robert Fagles (Translator), Bernard Knox (Introduction)",Classics,True
The Crucible,"Arthur Miller, Christopher Bigs(Introduction)",Classics,True
Cat's Cradle,Kurt Vonnegut Jr.,Fiction,True
The God of Small Things,"Arundhati Roy (Goodreads Author), Claude Demanuelli (Translator), Barbara Auer (Narrator), Diana Quick (Reading), Luana Stoica (trad.), Donada Peters (Narrator), Josep Julià Ballbé (Translator)",Fiction,True
The Wind in the Willows,"Kenneth Grahame, Gillian Avery (Introduction)",Classics,True
The Screwtape Letters,C.S. Lewis,Fiction,True
Girl with a Pearl Earring,Tracy Chevalier (Goodreads Author),Historical Fiction,True
The Hiding Place: The Triumphant True Story of Corrie Ten Boom,"Corrie ten Boom, John Sherrill, Elizabeth Sherrill (Goodreads Author)",Nonfiction,True
A Light in the Attic,Shel Silverstein,Poetry,True
The Silence of the Lambs,Thomas Harris,Horror,True
Shiver,Maggie Stiefvater (Goodreads Author),Young Adult,True
Uglies,Scott Westerfeld (Goodreads Author),Young Adult,True
City of Fallen Angels,Cassandra Clare (Goodreads Author),Fantasy,True
Man's Search for Meaning,"Viktor E. Frankl, Harold S. Kushner (Foreword), William J. Winslade (Afterword), Isle Lasch (Translator)",Nonfiction,True
She's Come Undone,Wally Lamb (Goodreads Author),Fiction,True
The Phantom of the Opera,"Gaston Leroux, Alexander Teixeira de Mattos (Translator)",Classics,True
Marley and Me: Life and Love With the World's Worst Dog,John Grogan,Nonfiction,True
Ella Enchanted,Gail Carson Levine (Goodreads Author),Fantasy,True
The Wind-Up Bird Chronicle,"Haruki Murakami, Jay Rubin (Translator)",Fiction,True
Cinder,Marissa Meyer (Goodreads Author),Young Adult,True
The Green Mile,Stephen King (Goodreads Author),Horror,True
Blindness,José Saramago,Fiction,True
A Clash of Kings,George R.R. Martin,Fantasy,True
The Sound and the Fury,William Faulkner,Classics,True
The Shack,William Paul Young,Fiction,True
Marked,"P.C. Cast (Goodreads Author), Kristin Cast (Goodreads Author)",Young Adult,True
The Guernsey Literary and Potato Peel Pie Society,"Mary Ann Shaffer, Annie Barrows",Historical Fiction,True
For Whom the Bell Tolls,Ernest Hemingway,Classics,True
Fear and Loathing in Las Vegas,"Hunter S. Thompson, Ralph Steadman (Illustrator)",Fiction,True
The House of the Spirits,"Isabel Allende (Goodreads Author), Magda Bogin (Translator)",Fiction,True
The Complete Calvin and Hobbes,Bill Watterson,Comics,True
Roots: The Saga of an American Family,Alex Haley,Historical Fiction,True
Misery,Stephen King (Goodreads Author),Horror,True
Howl's Moving Castle,Diana Wynne Jones,Fantasy,True
Stranger in a Strange Land,Robert A. Heinlein,Science Fiction,True
Island of the Blue Dolphins,Scott O'Dell,Young Adult,True
Midnight Sun [2008 Draft],Stephenie Meyer,Young Adult,True
The Girl Who Kicked the Hornet's Nest,"Stieg Larsson, Reg Keeland (Translator)",Fiction,True
The Secret History,Donna Tartt,Fiction,True
White Oleander,Janet Fitch (Goodreads Author),Fiction,True
The Diary of a Young Girl,"Anne Frank, Eleanor Roosevelt (Introduction), 郭清玲 (Translator), Barbara Mooyaart-Doubleday (Translator)",Nonfiction,True
Delirium,Lauren Oliver (Goodreads Author),Young Adult,True
Beautiful Disaster,Jamie McGuire (Goodreads Author),Romance,True
Othello,William Shakespeare,Classics,True
Flow Down Like Silver: Hypatia of Alexandria,Ki Longfellow (Goodreads Author),Historical Fiction,True
Paper Towns,John Green (Goodreads Author),Young Adult,True
The Vampire Lestat,Anne Rice,Horror,True
Speak,Laurie Halse Anderson (Goodreads Author),Young Adult,True
The Idiot,"Fyodor Dostoyevsky, Anna Brailovsky (Translator), Eva M. Martin (Translator), Constance Garnett (Translator), Martin Geeson (Narrator), Joseph Frank (Introduction)",Classics,True
King Lear,William Shakespeare,Classics,True
The Once and Future King,T.H. White,Fantasy,True
I Know This Much Is True,Wally Lamb (Goodreads Author),Fiction,True
Neverwhere,Neil Gaiman (Goodreads Author),Fantasy,True
Into the Wild,Jon Krakauer (Goodreads Author),Nonfiction,True
Inkheart,"Cornelia Funke (Goodreads Author), Anthea Bell (Translator)",Fantasy,True
Uncle Tom's Cabin,Harriet Beecher Stowe,Classics,True
"Lamb: The Gospel According to Biff, Christ's Childhood Pal",Christopher Moore (Goodreads Author),Fiction,True
The Historian,Elizabeth Kostova,Fiction,True
The Complete Sherlock Holmes,Arthur Conan Doyle,Classics,True
Candide,"Voltaire, Sara Gioacchino Corcos (Translator)",Classics,True
James and the Giant Peach,"Roald Dahl, Quentin Blake (Illustrator)",Childrens,True
Invisible Man,Ralph Ellison,Classics,True
Gone Girl,Gillian Flynn (Goodreads Author),Fiction,True
Blood River: A Journey to Africa's Broken Heart,Tim Butcher (Goodreads Author),Travel,True
Paradise Lost,"John Milton, John Leonard (Editor, Contributor)",Classics,True
Leaves of Grass,Walt Whitman,Poetry,True
All Creatures Great and Small,James Herriot,Nonfiction,True
Graceling,Kristin Cashore,Fantasy,True
The Complete Works,William Shakespeare,Classics,True
The Thirteenth Tale,Diane Setterfield (Goodreads Author),Fiction,True
Foundation,Isaac Asimov,Science Fiction,True
Norwegian Wood,"Haruki Murakami, Jay Rubin (Translator)",Fiction,True
The Things They Carried,Tim O'Brien,Fiction,True
The Cider House Rules,John Irving (Goodreads Author),Fiction,True
The Time Machine,"H.G. Wells, Greg Bear (Introduction), Carlo Pagetti (Foreword)",Classics,True
Different Seasons,Stephen King (Goodreads Author),Horror,True
Kafka on the Shore,"Haruki Murakami, Philip Gabriel (Translator)",Fiction,True
Heidi,"Johanna Spyri, Beverly Cleary (Foreword), Angelo Rinaldi (Illustrator)",Classics,True
"Are You There God? It's Me, Margaret",Judy Blume (Goodreads Author),Young Adult,True
City of Lost Souls,Cassandra Clare (Goodreads Author),Fantasy,True
Sophie's World,"Jostein Gaarder, Paulette Møller (Translator)",Philosophy,True
Walden,Henry David Thoreau,Classics,True
The Wise Man's Fear,Patrick Rothfuss (Goodreads Author),Fantasy,True
زندگی مه آلود پریا,سید مرتضی مصطفوی (Goodreads Author),Fiction,True
The Awakening,Kate Chopin,Classics,True
Fangirl,Rainbow Rowell (Goodreads Author),Young Adult,True
Sophie's Choice,William Styron,Fiction,True
The Prince of Tides,Pat Conroy,Fiction,True
Never Let Me Go,Kazuo Ishiguro,Fiction,True
The Son of Neptune,Rick Riordan (Goodreads Author),Fantasy,True
Dead Until Dark,Charlaine Harris (Goodreads Author),Fantasy,True
Fried Green Tomatoes at the Whistle Stop Cafe,Fannie Flagg,Fiction,True
Fifty Shades Darker,E.L. James (Goodreads Author),Romance,True
Ready Player One,Ernest Cline (Goodreads Author),Science Fiction,True
Middlemarch,"George Eliot, Michel Faber (Introduction)",Classics,True
The Monster at the End of this Book,"Jon Stone, Michael J. Smollin (Illustrator)",Picture Books,True
A Court of Mist and Fury,Sarah J. Maas (Goodreads Author),Fantasy,True
Things Fall Apart,Chinua Achebe,Fiction,True
Bridget Jones's Diary,"Helen Fielding (Goodreads Author), Хелен Филдинг",Fiction,True
Mrs. Dalloway,"Virginia Woolf, Maureen Howard (Foreword)",Classics,True
Mockingjay,Suzanne Collins,Young Adult,True
Franny and Zooey,J.D. Salinger,Fiction,True
The Power of One,Bryce Courtenay,Fiction,True
The Magician's Nephew,C.S. Lewis,Fantasy,True
Stardust,Neil Gaiman (Goodreads Author),Fantasy,True
A Time to Kill,John Grisham (Goodreads Author),Fiction,True
The Gunslinger,Stephen King (Goodreads Author),Fantasy,True
Number the Stars,Lois Lowry (Goodreads Author),Historical Fiction,True
Do Androids Dream of Electric Sheep?,Philip K. Dick,Science Fiction,True
Allegiant,Veronica Roth (Goodreads Author),Young Adult,True
Eleanor & Park,Rainbow Rowell (Goodreads Author),Young Adult,True
A Short History of Nearly Everything,Bill Bryson,Nonfiction,True
The Lord of the Rings,J.R.R. Tolkien,Fantasy,True
Me Before You,Jojo Moyes (Goodreads Author),Romance,True
The Mark of Athena,Rick Riordan (Goodreads Author),Fantasy,True
The Art of Racing in the Rain,Garth Stein (Goodreads Author),Fiction,True
The Way of Kings,Brandon Sanderson (Goodreads Author),Fantasy,True
If I Stay,Gayle Forman (Goodreads Author),Young Adult,True
Black Beauty,Anna Sewell,Classics,True
Legend,Marie Lu (Goodreads Author),Young Adult,True
The Hound of the Baskervilles,"Arthur Conan Doyle, Anne Perry (Afterword)",Classics,True
A Portrait of the Artist as a Young Man,"James Joyce, Seamus Deane (Editor), Jim Norton (Translation), Hans Walter Gabler, Jeri Johnson (Editor), J.M. Gaffney (Editor), Ludmila Savitzky (Translator)",Classics,True
Gulliver's Travels,"Jonathan Swift, Robert DeMaria Jr. (Editor)",Classics,True
Bel Canto,Ann Patchett,Fiction,True
American Psycho,Bret Easton Ellis,Fiction,True
V for Vendetta,"Alan Moore (Goodreads Author), David Lloyd (Illustrator)",Graphic Novels,True
Love You Forever,"Robert Munsch, Sheila McGraw (Illustrator)",Picture Books,True
The Witches,"Roald Dahl, Quentin Blake (Illustrator)",Fantasy,True
القرآن الكريم,Anonymous,Religion,True
The Graveyard Book,"Neil Gaiman (Goodreads Author), Dave McKean (Illustrator)",Fantasy,True
The Complete Novels,Jane Austen,Classics,True
Fifty Shades Freed,E.L. James (Goodreads Author),Romance,True
Cold Mountain,Charles Frazier,Historical Fiction,True
White Fang,"Jack London, مها محمود صالح (Goodreads Author) (Translator)",Classics,True
Wonder,R.J. Palacio,Young Adult,True
Beowulf,"Unknown, Seamus Heaney (Translator)",Classics,True
Tuck Everlasting,Natalie Babbitt,Fantasy,True
The Final Empire,Brandon Sanderson (Goodreads Author),Fantasy,True
Beautiful Creatures,"Kami Garcia (Goodreads Author), Margaret Stohl (Goodreads Author)",Young Adult,True
Steppenwolf,"Hermann Hesse, Basil Creighton (translator)",Fiction,True
Eldest,Christopher Paolini (Goodreads Author),Fantasy,True
Dark Lover,J.R. Ward (Goodreads Author),Romance,True
Go Ask Alice,"Beatrice Sparks (as ""Anonymous""), Anonymous",Young Adult,True
انتحار فاشل,أحمد جمال الدين رمضان,Short Stories,True
The Eye of the World,Robert Jordan,Fantasy,True
The Tell-Tale Heart and Other Writings,Edgar Allan Poe,Classics,True
As I Lay Dying,William Faulkner,Classics,True
A Separate Peace,"John Knowles, David Levithan (Goodreads Author) (Afterword)",Classics,True
The Complete Maus,Art Spiegelman,Graphic Novels,True
Mansfield Park,"Jane Austen, Kathryn Sutherland (Editor)",Classics,True
The Amazing Adventures of Kavalier & Clay,Michael Chabon,Fiction,True
Brisingr,Christopher Paolini (Goodreads Author),Fantasy,True
